SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
1,01/22/2020,California,US,01/22/2020 00:00,60623,379,72487
2,01/22/2020,Unknown,Spain,01/22/2020 01:00,78033,1284,77189
3,01/22/2020,New York,India,01/22/2020 02:00,84480,4464,34935
4,01/22/2020,Unknown,Spain,01/22/2020 03:00,7527,3182,71495
5,01/22/2020,Unknown,Spain,01/22/2020 04:00,3072,3747,83553
6,01/22/2020,Guangdong,India,01/22/2020 05:00,12018,2256,35242
7,01/22/2020,New York,Spain,01/22/2020 06:00,29652,3927,79391
8,01/22/2020,New York,India,01/22/2020 07:00,4476,4120,86960
9,01/22/2020,New York,India,01/22/2020 08:00,95768,545,26326
10,01/22/2020,Unknown,India,01/22/2020 09:00,27482,274,85331
11,01/22/2020,California,US,01/22/2020 10:00,62513,3441,53811
12,01/22/2020,New York,Italy,01/22/2020 11:00,86411,2269,69811
13,01/22/2020,Unknown,US,01/22/2020 12:00,16219,3108,53537
14,01/22/2020,Guangdong,India,01/22/2020 13:00,30448,2922,57829
15,01/22/2020,California,Italy,01/22/2020 14:00,79903,3387,9552
16,01/22/2020,Guangdong,Italy,01/22/2020 15:00,25120,1870,72811
17,01/22/2020,California,India,01/22/2020 16:00,6855,4013,15485
18,01/22/2020,Unknown,Italy,01/22/2020 17:00,56553,110,33540
19,01/22/2020,Hubei,Italy,01/22/2020 18:00,68633,1755,77505
20,01/22/2020,California,US,01/22/2020 19:00,44585,4803,50984
21,01/22/2020,Guangdong,Italy,01/22/2020 20:00,85425,1367,46113
22,01/22/2020,Unknown,India,01/22/2020 21:00,1084,1528,7605
23,01/22/2020,California,China,01/22/2020 22:00,98856,551,81389
24,01/22/2020,Hubei,China,01/22/2020 23:00,21944,133,24757
25,01/23/2020,Hubei,China,01/23/2020 00:00,33921,2911,44865
26,01/23/2020,New York,India,01/23/2020 01:00,61282,2013,62811
27,01/23/2020,New York,China,01/23/2020 02:00,87393,3262,8337
28,01/23/2020,Guangdong,US,01/23/2020 03:00,51397,1060,77670
29,01/23/2020,California,India,01/23/2020 04:00,18070,2507,1839
30,01/23/2020,California,India,01/23/2020 05:00,54987,2022,82722
31,01/23/2020,New York,India,01/23/2020 06:00,56690,2186,75726
32,01/23/2020,California,Italy,01/23/2020 07:00,90011,2665,53102
33,01/23/2020,California,Italy,01/23/2020 08:00,61134,3170,17702
34,01/23/2020,Hubei,Italy,01/23/2020 09:00,87755,2727,16359
35,01/23/2020,New York,Spain,01/23/2020 10:00,59439,3335,88038
36,01/23/2020,Unknown,US,01/23/2020 11:00,31489,2646,32514
37,01/23/2020,New York,India,01/23/2020 12:00,23178,595,77526
38,01/23/2020,Unknown,India,01/23/2020 13:00,79019,4106,43218
39,01/23/2020,Hubei,Italy,01/23/2020 14:00,57956,2374,2940
40,01/23/2020,Guangdong,India,01/23/2020 15:00,47802,3421,23953
41,01/23/2020,California,India,01/23/2020 16:00,62778,2278,61405
42,01/23/2020,Hubei,China,01/23/2020 17:00,57719,1164,72934
43,01/23/2020,California,India,01/23/2020 18:00,33573,617,38226
44,01/23/2020,Guangdong,Spain,01/23/2020 19:00,33688,4860,2052
45,01/23/2020,Guangdong,Italy,01/23/2020 20:00,97065,4144,55606
46,01/23/2020,Hubei,US,01/23/2020 21:00,99747,450,44812
47,01/23/2020,Guangdong,US,01/23/2020 22:00,46475,1798,6305
48,01/23/2020,Unknown,China,01/23/2020 23:00,50697,4586,8407
49,01/24/2020,Guangdong,US,01/24/2020 00:00,33978,1892,785
50,01/24/2020,California,US,01/24/2020 01:00,29677,2454,67171
51,01/24/2020,California,Italy,01/24/2020 02:00,81540,2222,79815
52,01/24/2020,California,Italy,01/24/2020 03:00,10272,3808,14272
53,01/24/2020,California,Spain,01/24/2020 04:00,6212,1284,10491
54,01/24/2020,Unknown,China,01/24/2020 05:00,21071,2527,77480
55,01/24/2020,New York,US,01/24/2020 06:00,75236,1757,3109
56,01/24/2020,Hubei,Spain,01/24/2020 07:00,95516,222,12515
57,01/24/2020,California,China,01/24/2020 08:00,17297,4364,37772
58,01/24/2020,Guangdong,US,01/24/2020 09:00,51932,900,22140
59,01/24/2020,California,US,01/24/2020 10:00,56884,2365,72981
60,01/24/2020,Guangdong,Italy,01/24/2020 11:00,28625,4480,33052
